,robot,Name_C,SNR_C,SUB,P_name,Curr_A1_LQ,Curr_A2_LQ,Curr_A3_LQ,Curr_A4_LQ,Curr_A5_LQ,Curr_A6_LQ,Curr_E1_LQ,Curr_A1_HQ,Curr_A2_HQ,Curr_A3_HQ,Curr_A4_HQ,Curr_A5_HQ,Curr_A6_HQ,Curr_E1_HQ,size,QH1,QL1,QH2,QL2,QH3,QL3,QH4,QL4,QH5,QL5,QH6,QL6,QH7,QL7
12,AS33_020RB_400,/R1/HP140.SRC,74,,XHOME,-0.495433807,8.5811615,5.99479675,-0.781059265,0.554084778,-0.799179077,0.0,-0.25510788,12.406826,6.84022903,1.07860565,0.868797302,-0.54359436,0.0,2,0.0,0.39543380699999997,12.306826000000001,0.0,6.74022903,0.0,0.9786056500000001,0.681059265,0.7687973020000001,0.0,0.0,0.699179077,0.0,0.0
13,AS33_020RB_400,/R1/HP150.SRC,109,,XHOME,-0.588417053,11.177063,7.26890564,0.288009644,0.749588,-0.946998596,0.0,-0.573158264,11.4274025,7.29751587,0.521659851,0.780105591,-0.909805298,0.0,2,0.0,0.48841705300000005,11.3274025,0.0,7.19751587,0.0,0.42165985100000003,0.0,0.680105591,0.0,0.0,0.846998596,0.0,0.0
14,AS33_020RB_400,/R1/HP150.SRC,109,,XHOME,-0.588417053,11.177063,7.26890564,0.288009644,0.749588,-0.946998596,0.0,-0.573158264,11.4274025,7.29751587,0.521659851,0.780105591,-0.909805298,0.0,2,0.0,0.48841705300000005,11.3274025,0.0,7.19751587,0.0,0.42165985100000003,0.0,0.680105591,0.0,0.0,0.846998596,0.0,0.0
15,AS33_020RB_400,/R1/HP150.SRC,125,,,-0.589847565,11.2261772,7.34853745,0.0867843628,0.407218933,-1.03187561,0.0,-0.552177429,12.3720169,7.46011734,0.25177002,0.734329224,-0.939369202,0.0,4,0.0,0.48984756500000004,12.2720169,0.0,7.36011734,0.0,0.15177001999999998,0.0,0.634329224,0.0,0.0,0.93187561,0.0,0.0
16,AS33_020RB_400,/R1/HP150.SRC,74,,XHOME,-1.03712082,12.4020576,5.64003,0.227928162,0.502586365,-0.96988678,0.0,-0.349521637,14.4319534,7.11679459,3.03173065,1.7156601,-0.763893127,0.0,3,0.0,0.93712082,14.3319534,0.0,7.01679459,0.0,2.93173065,0.0,1.6156601,0.0,0.0,0.86988678,0.0,0.0
17,AS33_020RB_400,/R1/HP180.SRC,112,/R1/BAS.SRC,,-0.642776489,11.7464066,6.80208206,-0.710487366,1.33895874,0.360488892,0.0,-0.642776489,11.7464066,6.80208206,-0.710487366,1.33895874,0.360488892,0.0,1,0.0,0.542776489,11.6464066,0.0,6.70208206,0.0,0.0,0.610487366,1.23895874,0.0,0.260488892,0.0,0.0,0.0
18,AS33_020RB_400,/R1/HP180.SRC,114,,XHOME,-0.751972198,10.7560158,6.28471375,-1.18350983,0.418663025,0.0820159912,0.0,-0.450611115,12.6667023,7.23648071,-0.186920166,1.76429749,0.677108765,0.0,258,0.0,0.0,0.0,0.0,0.9407997100000003,0.0,0.0,0.338554386,1.028060918,0.0,0.11348724399999999,0.0,0.0,0.0
19,AS33_020RB_400,/R1/HP180.SRC,137,,,-0.731945038,10.8590126,5.99432,-1.90162659,0.0734329224,0.367164612,0.0,-0.473022461,13.8711929,6.76345825,-0.764846802,0.926017761,0.813484192,0.0,764,0.0,0.631945038,13.7711929,0.0,6.663458250000001,0.0,0.0,1.80162659,0.826017761,0.0,0.713484192,0.0,0.0,0.0
20,AS33_020RB_400,/R1/HP180.SRC,71,,XHOME,-0.695705414,11.1265182,6.37674332,-1.77574158,0.386238098,-1.02901459,0.0,-0.179767609,14.1706467,7.17878342,0.262260437,1.79290771,0.608444214,0.0,361,0.0,0.0,0.0,0.0,0.9903907800000002,0.0,0.162260437,0.31375885000000014,0.820159907,0.0,0.19073486300000003,0.9290145900000001,0.0,0.0
21,AS33_020RB_400,/R1/HP190.SRC,114,,XHOME,-0.665187836,11.3544464,6.6204071,0.496864319,1.74331665,-1.21879578,0.0,-0.48828125,12.5193596,6.77537918,1.31511688,1.90448761,-1.00898743,0.0,5,0.0,0.565187836,12.4193596,0.0,6.67537918,0.0,1.2151168799999998,0.0,1.80448761,0.0,0.0,1.11879578,0.0,0.0
22,AS33_020RB_400,/R1/HP190.SRC,114,,XHOME,-0.665187836,11.3544464,6.6204071,0.496864319,1.74331665,-1.21879578,0.0,-0.48828125,12.5193596,6.77537918,1.31511688,1.90448761,-1.00898743,0.0,5,0.0,0.565187836,12.4193596,0.0,6.67537918,0.0,1.2151168799999998,0.0,1.80448761,0.0,0.0,1.11879578,0.0,0.0
23,AS33_020RB_400,/R1/HP190.SRC,137,,,-0.644207,11.2967491,6.35957718,0.126838684,1.61266327,-1.26838684,0.0,-0.472545624,13.7658119,6.79922104,1.02615356,1.93691254,-0.975608826,0.0,28,0.0,0.544207,13.6658119,0.0,6.69922104,0.0,0.92615356,0.0,1.83691254,0.0,0.0,1.16838684,0.0,0.0
24,AS33_020RB_400,/R1/HP190.SRC,71,,XHOME,-0.567436218,-5.21183,6.34527206,-2.4471283,0.789642334,-0.93460083,0.0,0.266075134,13.4592056,10.3211403,0.608444214,1.74236298,0.891685486,0.0,17,0.16607513399999999,0.467436218,13.359205600000001,5.11183,10.2211403,0.0,0.5084442140000001,2.3471283,1.64236298,0.0,0.791685486,0.8346008300000001,0.0,0.0
25,AS33_020RB_400,/R1/HP200.SRC,101,,XHOME,-13.3209229,6.46019,9.98926163,-0.843048096,1.22451782,-0.421524048,0.0,-13.3209229,6.46019,9.98926163,-0.843048096,1.22451782,-0.421524048,0.0,1,0.0,4.5871735099999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AS33_020RB_400,/R1/HP200.SRC,101,,XHOME,-13.3209229,6.46019,9.98926163,-0.843048096,1.22451782,-0.421524048,0.0,-13.3209229,6.46019,9.98926163,-0.843048096,1.22451782,-0.421524048,0.0,1,0.0,4.5871735099999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AS33_020RB_400,/R1/HP250.SRC,62,,XHOME,-0.438690186,10.2081299,6.40153885,-0.714302063,0.657081604,-0.826835632,0.0,0.00953674316,14.275074,8.81147385,0.158309937,1.85680389,-0.327110291,0.0,5,0.0,0.0,0.0,0.0,2.258300780000001,0.0,0.058309937000000006,0.0,1.2292861899999998,0.0,0.0,0.726835632,0.0,0.0
28,AS33_020RB_400,/R1/HP250.SRC,62,,XHOME,-0.438690186,10.2081299,6.40153885,-0.714302063,0.657081604,-0.826835632,0.0,0.00953674316,14.275074,8.81147385,0.158309937,1.85680389,-0.327110291,0.0,5,0.0,0.0,0.0,0.0,2.258300780000001,0.0,0.058309937000000006,0.0,1.2292861899999998,0.0,0.0,0.726835632,0.0,0.0
29,AS33_020RB_400,/R1/HP250.SRC,97,,XHOME,-0.373840332,11.3630295,11.259079,-1.01184845,0.799179077,-0.54359436,0.0,-0.373840332,11.3630295,11.259079,-1.01184845,0.799179077,-0.54359436,0.0,1,0.0,0.273840332,11.2630295,0.0,11.159079,0.0,0.0,0.91184845,0.699179077,0.0,0.0,0.4435943600000001,0.0,0.0
30,AS33_020RB_400,/R1/HP250.SRC,97,,XHOME,-0.373840332,11.3630295,11.259079,-1.01184845,0.799179077,-0.54359436,0.0,-0.373840332,11.3630295,11.259079,-1.01184845,0.799179077,-0.54359436,0.0,1,0.0,0.273840332,11.2630295,0.0,11.159079,0.0,0.0,0.91184845,0.699179077,0.0,0.0,0.4435943600000001,0.0,0.0
31,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,106,/R1/DAI_STUDWELD_MAIN.SRC,PWLD,-8.35943222,-4.09555435,-13.0634308,-8.81004333,-4.40883636,-19.9279785,0.0,1.54495239,26.3161659,21.2512016,19.6208954,0.312805176,9.06467438,0.0,375,0.8773803899999999,3.36360931,11.544227600000001,0.0,13.79013059,12.963430800000001,17.68302919,8.71004333,0.212805176,1.2416839599999996,8.96467438,17.921447739999998,0.0,0.0
32,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,120,,XLHP012,-14.518261,-6.71434402,-6.41393661,-14.2192841,-4.8418045,-8.38851929,0.0,0.38766861,43.7951088,27.3318291,9.46140289,2.51483917,15.9416199,0.0,371,0.28766861,12.435913130000001,40.181159980000004,6.614344020000001,3.7555695,6.313936610000001,9.36140289,3.1604767000000002,0.8335113500000002,4.741804500000001,5.255699199999999,8.28851929,0.0,0.0
33,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,134,,XLHP015,-8.55732,5.56516647,9.91916656,-11.2028122,-1.23977661,-0.273704529,0.0,-3.68499756,22.7651596,16.6807175,1.26552582,0.141143799,13.004303,0.0,69,0.0,1.9068721500000008,9.689331000000001,0.0,1.8053054999999993,0.0,1.1655258199999998,3.86714936,0.04114379899999998,0.6723403920000001,4.9915313900000005,0.17370452899999997,0.0,0.0
34,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,134,,XLHP015,-8.55732,5.56516647,9.91916656,-11.2028122,-1.23977661,-0.273704529,0.0,-3.68499756,22.7651596,16.6807175,1.26552582,0.141143799,13.004303,0.0,69,0.0,1.9068721500000008,9.689331000000001,0.0,1.8053054999999993,0.0,1.1655258199999998,3.86714936,0.04114379899999998,0.6723403920000001,4.9915313900000005,0.17370452899999997,0.0,0.0
35,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,145,,XLHP020,-15.2025223,6.01100922,-16.2324905,-11.0359192,-5.44834137,-6.80160522,0.0,-1.36089325,45.5594063,15.7279968,9.43851471,0.245094299,12.9098892,0.0,591,0.0,10.302543660000001,32.8874588,0.0,12.851238219999999,14.08290859,5.4101944,10.9359192,0.14509429899999998,2.1610259999999997,12.8098892,5.840301509,0.0,0.0
36,AS33_020RB_400,/R1/SDB_020R4_020_V174_01.SRC,145,,XLHP020,-15.2025223,6.01100922,-16.2324905,-11.0359192,-5.44834137,-6.80160522,0.0,-1.36089325,45.5594063,15.7279968,9.43851471,0.245094299,12.9098892,0.0,591,0.0,10.302543660000001,32.8874588,0.0,12.851238219999999,14.08290859,5.4101944,10.9359192,0.14509429899999998,2.1610259999999997,12.8098892,5.840301509,0.0,0.0
