robot,shop,reference,number,type,tech,mark,remark
FD42_230RB_100,HOP,250410-250516,235649.0,KR360_R2830_Fortec,点焊,0,
FD43_285RB_100,HOP,250410-250516,230920.0,KR420_R3330_Fortec,抓手,0,
FD43_285RB_200,HOP,250410-250516,63671.0,KR240_R2900_ultra,滚边,0,2月改
FD44_285RB_100,HOP,250410-250516,245622.0,KR420_R3330_Fortec,抓手,0,
FD44_285RB_200,HOP,250410-250516,129135.0,KR240_R2900_ultra,滚边,0,
FA41_030RB_300,HOP,250410-250516,112421.0,KR360_R2830_Fortec,点焊,0,
FA41_190RB_200,HOP,2025-07-30_2025-09-03,106443.0,KR360_R2830_Fortec,点焊,0,8月初改参照
FA41_200RB_100,HOP,250410-250516,267813.0,KR360_R2830_Fortec,点焊,0,8.12改程序
FA41_200RB_300,HOP,250410-250516,261376.0,KR360_R2830_Fortec,点焊,0,
FA42_030RB_300,HOP,250410-250516,107786.0,KR360_R2830_Fortec,点焊,0,2.5程序修改
FA42_190RB_200,HOP,250410-250516,95474.0,KR360_R2830_Fortec,点焊,0,2025.2改程序
FA42_200RB_100,HOP,250410-250516,274476.0,KR360_R2830_Fortec,点焊,0,9.1改程序
FA42_200RB_300,HOP,250410-250516,225478.0,KR360_R2830_Fortec,点焊,0,
MH41_070RB_200,HOP,250410-250516,77414.0,KR240_R2900_ultra,压铆,0,
MH41_070RB_300,HOP,250410-250516,77906.0,KR240_R2900_ultra,压铆,0,
MH41_160RB_200,HOP,250410-250516,7.0,KR180_R2900_prime,涂胶,0,
FA41_070RB_200,HOP,250410-250516,78849.0,KR360_R2830_Fortec,点焊,0,
FA41_070RB_300,HOP,250410-250516,101533.0,KR360_R2830_Fortec,点焊,0,
FA42_070RB_200,HOP,250410-250516,79931.0,KR360_R2830_Fortec,点焊,0,
FA42_070RB_300,HOP,250410-250516,104413.0,KR360_R2830_Fortec,点焊,0,
FD41_230RB_200,HOP,250410-250516,117705.0,KR360_R2830_Fortec,点焊,0,2025.2改程序
FD42_230RB_200,HOP,250410-250516,113971.0,KR360_R2830_Fortec,点焊,0,
